dataset,nlist,nprobe,divideIVF,orderOptimize,cut,block,worker,average_time_speedup,average_recall
word2vec,1000,1000,1,1,0,0,4,575.8786366469008,1.0
word2vec,1000,1000,0,1,1,10,4,525.0931163084057,1.0
word2vec,1000,1000,0,1,0,10,4,446.68123284268967,1.0
word2vec,1000,1000,1,1,0,0,1,126.54677773749212,1.0
word2vec,1000,1000,0,1,0,10,1,121.12015847332249,1.0
word2vec,1000,1000,0,1,1,10,1,110.68289900195272,1.0
baseline太快
"
"
sift10k,100,100,1,1,0,0,4,235.3284604327815,1.0
sift10k,100,100,1,1,0,0,1,108.69559817360272,1.0
sift10k,100,100,0,1,1,10,4,50.740900545137755,1.0
sift10k,100,100,0,1,1,10,1,37.98546928554631,1.0
sift10k,100,100,0,1,0,10,1,37.603705093389856,1.0
sift10k,100,100,0,1,0,10,4,35.65284546196326,1.0
数据集太小，可以忽略
"
"
nuswide,518,518,1,1,0,0,4,677.9621665965491,1.0
nuswide,518,518,0,1,0,10,4,223.93009599658254,1.0
nuswide,518,518,0,1,1,10,4,210.17115348282894,1.0
nuswide,518,518,1,1,0,0,1,166.78688881790072,1.0
nuswide,518,518,0,1,1,10,1,73.34186751947344,1.0
nuswide,518,518,0,1,0,10,1,66.78663366642215,1.0
baseline太快，
"
"
msong,997,997,0,1,1,10,3,404.1735702074105,0.9991899728775024
msong,997,997,1,1,0,0,3,387.7851769386778,0.9991899728775024
msong,997,997,0,1,0,10,3,349.3512973129618,0.9991999864578247
msong,997,997,1,1,0,0,1,117.54838416885487,0.9991999864578247
msong,997,997,0,1,1,10,1,117.17528153971519,0.9991899728775024
msong,997,997,0,1,0,10,1,116.89483462718302,0.9991999864578247
"
"
glove1.2m,1092,1092,1,1,0,0,4,563.8065021261657,1.0
glove1.2m,1092,1092,0,1,1,10,4,409.5604736045704,1.0
glove1.2m,1092,1092,0,1,0,10,4,385.99193010181517,1.0
glove1.2m,1092,1092,0,1,1,10,1,120.4240824070281,1.0
glove1.2m,1092,1092,0,1,0,10,1,119.89076681412259,1.0
glove1.2m,1092,1092,1,1,0,0,1,117.95076149284625,1.0
"
"
sift1m,1000,1000,1,1,0,0,4,590.3402110912024,0.9998909831047058
sift1m,1000,1000,0,1,1,10,4,402.3103020196224,0.9998909831047058
sift1m,1000,1000,0,1,0,10,4,344.72454780093904,0.9998869895935059
sift1m,1000,1000,0,1,0,10,1,105.96204674302658,0.9998869895935059
sift1m,1000,1000,1,1,0,0,1,103.69197740956037,0.9998869895935059
sift1m,1000,1000,0,1,1,10,1,100.05652609886118,0.9998909831047058
"
"
