dataset,mode,nb,nq,d,nlist,nprobe,k,orderOptimize,UnblockSend,cut,block,worker,group,team,ratio,teamRatio,brute_ratio,average_time_speedup,1-average_recall,1-average_recall_loose,average_query_time,average_original_time,average_variance
deep1M,Baseline,1000000,1000,256,1000,1000,100,1,1,0,0,4,1,1,0.0000000000000000,0.0000000000000000,1.0000000000000000,427.4837036,0.0,0.0,1.847458484,7.897584213,0.0

HandOutlines,Baseline,600000,370,2712,774,774,100,1,1,0,0,4,1,1,0.0000000000000000,0.0000000000000000,1.0000000000000000,0.0,2.70009040833e-05,0.0,4.852375458,0.0,0.0
HandOutlines,Baseline,600000,370,2712,774,774,100,1,1,0,0,4,1,1,0.0000000000000000,0.0000000000000000,1.0000000000000000,69.45347086666666,0.8389459401369095,0.8389459401369095,9.951664525,7.293735210333334,0.0

word2vec,Baseline,1000000,1000,300,1000,1000,100,1,1,0,0,4,1,1,0.0000000000000000,0.0000000000000000,1.0000000000000000,401.8041992,0.0,0.0,2.320495987,9.323850528,0.0

sift10k,Baseline,10000,100,128,100,100,100,1,1,0,0,4,1,1,0.0000000000000000,0.0000000000000000,1.0000000000000000,5.9830384,0.0001000165939331,0.0,0.017575635,0.001051557,0.0

msong,Baseline,994185,1000,420,997,997,100,1,1,0,0,4,1,1,0.0000000000000000,0.0000000000000000,1.0000000000000000,420.0274353,1.00135803223e-05,0.0,3.193607706,13.414029018,0.0

glove2.2m,Baseline,2196017,1000,300,1481,1481,100,1,1,0,0,4,1,1,0.0000000000000000,0.0000000000000000,1.0000000000000000,381.2267761,0.0,0.0,5.80512266,22.130682021,0.0

glove1.2m,Baseline,1193514,1000,200,1092,1092,100,1,1,0,0,4,1,1,0.0000000000000000,0.0000000000000000,1.0000000000000000,482.7919312,0.0,0.0,1.560941959,7.536101996,0.0

sift1m,Baseline,1000000,10000,128,1000,1000,100,1,1,0,0,4,1,1,0.0000000000000000,0.0000000000000000,1.0000000000000000,524.3134155,0.0001519918441772,0.0,7.377466332,38.681044632,0.0

StarLightCurves,Baseline,823600,1000,1024,907,907,100,1,1,0,0,4,1,1,0.0000000000000000,0.0000000000000000,1.0000000000000000,395.8390198,0.0009199976921082,0.000469982624054,6.759816016,26.75798939,0.0
