dataset,mode,nb,nq,d,nlist,nprobe,k,orderOptimize,UnblockSend,cut,block,worker,group,team,ratio,teamRatio,brute_ratio,average_time_speedup,1-average_recall,1-average_recall_loose,average_query_time,average_original_time,average_variance
deep1M,Group   ,1000000,1000,256,1000,1000,100,1,1,1,4,4,2,2,0.0000000000000000,0.0000000000000000,1.0000000000000000,401.2258301,0.0,0.0,2.145358264,8.607731194,0.0

deep1M,Baseline,1000000,1000,256,1000,1000,100,1,1,0,0,4,1,1,0.0000000000000000,0.0000000000000000,1.0000000000000000,399.3724976,0.0,0.0,2.155313902,8.607731194,0.0

deep1M,Dim     ,1000000,1000,256,1000,1000,100,0,0,0,8,4,1,1,0.0000000000000000,0.0000000000000000,1.0000000000000000,182.8782654,0.0,0.0,4.706809427,8.607731194,0.0

HandOutlines,Baseline,600000,370,2712,774,774,100,1,1,0,0,4,1,1,0.0000000000000000,0.0000000000000000,1.0000000000000000,455.5602417,2.70009040833e-05,0.0,4.987042534,22.718982573,0.0

HandOutlines,Group   ,600000,370,2712,774,774,100,1,1,1,5,4,2,2,0.0000000000000000,0.0000000000000000,1.0000000000000000,430.1198425,2.70009040833e-05,0.0,5.282012099,22.718982573,0.0

HandOutlines,Dim     ,600000,370,2712,774,774,100,0,0,0,10,4,1,1,0.0000000000000000,0.0000000000000000,1.0000000000000000,191.8556824,0.0,0.0,11.84170452,22.718982573,0.0

word2vec,Baseline,1000000,1000,300,1000,1000,100,1,1,0,0,4,1,1,0.0000000000000000,0.0000000000000000,1.0000000000000000,508.4692383,0.0,0.0,1.957204522,9.951782874,0.0

word2vec,Group   ,1000000,1000,300,1000,1000,100,1,1,1,4,4,2,2,0.0000000000000000,0.0000000000000000,1.0000000000000000,394.2233276,0.0,0.0,2.524402344,9.951782874,0.0

word2vec,Dim     ,1000000,1000,300,1000,1000,100,0,0,0,8,4,1,1,0.0000000000000000,0.0000000000000000,1.0000000000000000,283.6402588,0.0,0.0,3.508593226,9.951782874,0.0

msong,Group   ,994185,1000,420,997,997,100,1,1,1,4,4,2,2,0.0000000000000000,0.0000000000000000,1.0000000000000000,450.1370239,0.0008699893951416,0.0,3.259046903,14.670177059,0.0

msong,Baseline,994185,1000,420,997,997,100,1,1,0,0,4,1,1,0.0000000000000000,0.0000000000000000,1.0000000000000000,412.2735596,0.0008699893951416,0.0,3.558359923,14.670177059,0.0

msong,Dim     ,994185,1000,420,997,997,100,0,0,0,8,4,1,1,0.0000000000000000,0.0000000000000000,1.0000000000000000,227.5424652,0.0008699893951416,0.0,6.447225922,14.670177059,0.0

glove2.2m,Baseline,2196017,1000,300,1481,1481,100,1,1,0,0,4,1,1,0.0000000000000000,0.0000000000000000,1.0000000000000000,406.2411804,0.000220000743866,0.0001999735832214,4.931092847,20.032129177,0.0

glove2.2m,Group   ,2196017,1000,300,1481,1481,100,1,1,1,4,4,2,2,0.0000000000000000,0.0000000000000000,1.0000000000000000,332.2181091,0.000220000743866,0.0001999735832214,6.029812602,20.032129177,0.0

glove2.2m,Dim     ,2196017,1000,300,1481,1481,100,0,0,0,8,4,1,1,0.0000000000000000,0.0000000000000000,1.0000000000000000,182.7594757,0.0002300143241882,0.0001999735832214,10.960924997,20.032129177,0.0

glove1.2m,Baseline,1193514,1000,200,1092,1092,100,1,1,0,0,4,1,1,0.0000000000000000,0.0000000000000000,1.0000000000000000,404.2974243,0.0,0.0,1.706868293,6.900824627,0.0

glove1.2m,Group   ,1193514,1000,200,1092,1092,100,1,1,1,4,4,2,2,0.0000000000000000,0.0000000000000000,1.0000000000000000,334.3701782,0.0,0.0,2.063827839,6.900824627,0.0

glove1.2m,Dim     ,1193514,1000,200,1092,1092,100,0,0,0,8,4,1,1,0.0000000000000000,0.0000000000000000,1.0000000000000000,178.9607697,0.0,0.0,3.856054386,6.900824627,0.0

sift1m,Baseline,1000000,10000,128,1000,1,100,1,1,0,0,4,1,1,0.0000000000000000,0.0000000000000000,1.0000000000000000,57.5086403,0.7065010070800781,0.7064569890499115,0.088519404,0.050906304,4.495330911067615
sift1m,Baseline,1000000,10000,128,1000,3,100,1,1,0,0,4,1,1,0.0000000000000000,0.0000000000000000,1.0000000000000000,118.7090073,0.4572659730911255,0.4571580290794373,0.109525681,0.13001685,11.988494484296183
sift1m,Baseline,1000000,10000,128,1000,5,100,1,1,0,0,4,1,1,0.0000000000000000,0.0000000000000000,1.0000000000000000,150.5886688,0.3370280265808105,0.3369020223617554,0.138605068,0.20872352,19.791008059217198
sift1m,Baseline,1000000,10000,128,1000,10,100,1,1,0,0,4,1,1,0.0000000000000000,0.0000000000000000,1.0000000000000000,249.1108093,0.1915709972381592,0.1914119720458984,0.161830494,0.403137258,40.18636584713776
sift1m,Baseline,1000000,10000,128,1000,20,100,1,1,0,0,4,1,1,0.0000000000000000,0.0000000000000000,1.0000000000000000,218.9455414,0.0854960083961487,0.0853170156478882,0.356188927,0.7798598,82.97352589832494
sift1m,Baseline,1000000,10000,128,1000,30,100,1,1,0,0,4,1,1,0.0000000000000000,0.0000000000000000,1.0000000000000000,358.3262024,0.0459830164909363,0.0458059906959534,0.3214811,1.151950972,128.14179646001534
sift1m,Baseline,1000000,10000,128,1000,40,100,1,1,0,0,4,1,1,0.0000000000000000,0.0000000000000000,1.0000000000000000,350.7709351,0.0271779894828796,0.0270079970359802,0.436499793,1.531114354,174.15486211989605
sift1m,Baseline,1000000,10000,128,1000,50,100,1,1,0,0,4,1,1,0.0000000000000000,0.0000000000000000,1.0000000000000000,391.7362366,0.01698899269104,0.0168290138244629,0.485848893,1.903246106,219.61703030502895
sift1m,Baseline,1000000,10000,128,1000,70,100,1,1,0,0,4,1,1,0.0000000000000000,0.0000000000000000,1.0000000000000000,405.9679871,0.0073860287666321,0.0072410106658936,0.647873411,2.630158735,310.5139352750533
sift1m,Baseline,1000000,10000,128,1000,100,100,1,1,0,0,4,1,1,0.0000000000000000,0.0000000000000000,1.0000000000000000,405.5454712,0.0025290250778198,0.0024030208587646,0.91802516,3.723009464,446.6415206852135
sift1m,Baseline,1000000,10000,128,1000,200,100,1,1,0,0,4,1,1,0.0000000000000000,0.0000000000000000,1.0000000000000000,446.9592285,0.0002089738845825,0.0001050233840942,1.634026839,7.303433799,865.081509454456
sift1m,Baseline,1000000,10000,128,1000,300,100,1,1,0,0,4,1,1,0.0000000000000000,0.0000000000000000,1.0000000000000000,379.4554443,0.0001149773597717,1.19805335999e-05,2.854648729,10.832120042,1134.9491477594931
sift1m,Baseline,1000000,10000,128,1000,400,100,1,1,0,0,4,1,1,0.0000000000000000,0.0000000000000000,1.0000000000000000,430.0549316,0.0001029968261719,0.0,3.348091833,14.398633986,1063.5498455643722
sift1m,Baseline,1000000,10000,128,1000,500,100,1,1,0,0,4,1,1,0.0000000000000000,0.0000000000000000,1.0000000000000000,458.1603088,0.0001029968261719,0.0,3.888182252,17.814107624,743.6533654869048
sift1m,Baseline,1000000,10000,128,1000,1000,100,1,1,0,0,4,1,1,0.0000000000000000,0.0000000000000000,1.0000000000000000,537.3174438333334,0.0001029968261719,0.0,7.295779458999999,39.119400352,0.0

sift1m,Group   ,1000000,10000,128,1000,1,100,1,1,1,4,4,2,2,0.0000000000000000,0.0000000000000000,1.0000000000000000,16.7223339,0.7065010070800781,0.7064569890499115,0.304421042,0.050906304,4.495330911067615
sift1m,Group   ,1000000,10000,128,1000,3,100,1,1,1,4,4,2,2,0.0000000000000000,0.0000000000000000,1.0000000000000000,37.0933113,0.4572659730911255,0.4571580290794373,0.35051294,0.13001685,11.988494484296183
sift1m,Group   ,1000000,10000,128,1000,5,100,1,1,1,4,4,2,2,0.0000000000000000,0.0000000000000000,1.0000000000000000,56.0537529,0.337028980255127,0.3369020223617554,0.372363144,0.20872352,19.791008059217198
sift1m,Group   ,1000000,10000,128,1000,10,100,1,1,1,4,4,2,2,0.0000000000000000,0.0000000000000000,1.0000000000000000,91.4138489,0.1915709972381592,0.1914119720458984,0.441002401,0.403137258,40.18636584713776
sift1m,Group   ,1000000,10000,128,1000,20,100,1,1,1,4,4,2,2,0.0000000000000000,0.0000000000000000,1.0000000000000000,138.8924103,0.0854970216751099,0.0853170156478882,0.561484833,0.7798598,82.97352589832494
sift1m,Group   ,1000000,10000,128,1000,30,100,1,1,1,4,4,2,2,0.0000000000000000,0.0000000000000000,1.0000000000000000,160.4668579,0.0459790229797363,0.0458059906959534,0.717874702,1.151950972,128.14179646001534
sift1m,Group   ,1000000,10000,128,1000,40,100,1,1,1,4,4,2,2,0.0000000000000000,0.0000000000000000,1.0000000000000000,185.4927216,0.0271790027618408,0.0270079970359802,0.825430947,1.531114354,174.15486211989605
sift1m,Group   ,1000000,10000,128,1000,50,100,1,1,1,4,4,2,2,0.0000000000000000,0.0000000000000000,1.0000000000000000,200.3489075,0.0169969797134399,0.0168290138244629,0.94996579,1.903246106,219.61703030502895
sift1m,Group   ,1000000,10000,128,1000,70,100,1,1,1,4,4,2,2,0.0000000000000000,0.0000000000000000,1.0000000000000000,242.5567322,0.0073850154876709,0.0072410106658936,1.084347866,2.630158735,310.5139352750533
sift1m,Group   ,1000000,10000,128,1000,100,100,1,1,1,4,4,2,2,0.0000000000000000,0.0000000000000000,1.0000000000000000,251.0270081,0.0025290250778198,0.0024030208587646,1.483111133,3.723009464,446.6415206852135
sift1m,Group   ,1000000,10000,128,1000,200,100,1,1,1,4,4,2,2,0.0000000000000000,0.0000000000000000,1.0000000000000000,355.8588257,0.0002210140228271,0.0001050233840942,2.052340293,7.303433799,865.081509454456
sift1m,Group   ,1000000,10000,128,1000,300,100,1,1,1,4,4,2,2,0.0000000000000000,0.0000000000000000,1.0000000000000000,382.091095,0.0001260042190552,1.19805335999e-05,2.834957545,10.832120042,1134.9491477594931
sift1m,Group   ,1000000,10000,128,1000,400,100,1,1,1,4,4,2,2,0.0000000000000000,0.0000000000000000,1.0000000000000000,415.5675964,0.0001140236854553,0.0,3.464811457,14.398633986,1063.5498455643722
sift1m,Group   ,1000000,10000,128,1000,500,100,1,1,1,4,4,2,2,0.0000000000000000,0.0000000000000000,1.0000000000000000,371.0195923,0.0001140236854553,0.0,4.801392643,17.814107624,743.6533654869048
sift1m,Group   ,1000000,10000,128,1000,1000,100,1,1,1,4,4,2,2,0.0000000000000000,0.0000000000000000,1.0000000000000000,498.81023153333336,0.0001140236854553,0.0,7.901145198333334,39.119400352,0.0

sift1m,Dim     ,1000000,10000,128,1000,1,100,0,0,0,8,4,1,1,0.0000000000000000,0.0000000000000000,1.0000000000000000,6.3760195,0.7065010070800781,0.7064569890499115,0.798402596,0.050906304,4.495330911067615
