dataset,mode,nb,nq,d,nlist,nprobe,divideIVF,orderOptimize,UnblockSend,cut,block,worker,group,team,ratio,average_time_speedup,average_recall,average_query_time,average_original_time,average_variance
msongHard,Baseline,994185,1000,420,997,997,232,1,1,0,0,4,4,1,0.0000000000000000,407.6177063,0.1993200182914734,3.1691418000000002,12.916195984,44.59953825049272
msongHard,Baseline,994185,1000,420,997,997,24,1,1,0,0,4,4,1,0.1000000014901161,378.7244873,0.2016900181770325,3.410446452,12.916195984,105.3703693845319
msongHard,Baseline,994185,1000,420,997,997,232,1,1,0,0,4,4,1,0.2000000029802322,343.088974,0.21232998371124265,3.7664035169999996,12.916195984,203.16825109984714
msongHard,Baseline,994185,1000,420,997,997,232,1,1,0,0,4,4,1,0.3000000119209290,316.6670532,0.1977999806404114,4.078793715,12.916195984,302.63349632731985
msongHard,Baseline,994185,1000,420,997,997,232,1,1,0,0,4,4,1,0.4000000059604645,289.8015747,0.2257599830627441,4.456910217,12.916195984,402.3978430262974
msongHard,Baseline,994185,1000,420,997,997,24,1,1,0,0,4,4,1,0.4000000059604645,289.164978,0.2219600081443787,4.466722096,12.916195984,402.47371500983945
msongHard,Baseline,994185,1000,420,997,997,232,1,1,0,0,4,4,1,0.5000000000000000,278.1504211,0.2315999865531921,4.643601112,12.916195984,502.51583107544417
msongHard,Baseline,994185,1000,420,997,997,232,1,1,0,0,4,4,1,0.6000000238418579,250.58509830000003,0.2349750101566315,5.170381756499999,12.916195984,600.6484422881502
msongHard,Baseline,994185,1000,420,997,997,232,1,1,0,0,4,4,1,0.6999999880790710,244.6240082,0.261430025100708,5.280019716,12.916195984,700.7771227196145
msongHard,Baseline,994185,1000,420,997,997,232,1,1,0,0,4,4,1,0.8000000119209290,236.31637569999998,0.26545000076293945,5.4681617945,12.916195984,801.0228929468567
msongHard,Baseline,994185,1000,420,997,997,232,1,1,0,0,4,4,1,0.8999999761581421,225.23286435,0.2754549980163574,5.7354051219999995,12.916195984,901.2831144775068
msongHard,Baseline,994185,1000,420,997,997,232,1,1,0,0,4,4,1,1.0000000000000000,213.82613375,0.2946450114250183,6.0406062474999995,12.916195984,1001.5153974205084

msongHard,Group   ,994185,1000,420,997,997,232,1,1,1,4,4,2,2,0.0000000000000000,378.52526855,0.19680500030517573,3.4136274125,12.916195984,44.32115899606329
msongHard,Group   ,994185,1000,420,997,997,232,1,1,1,4,4,2,2,0.1000000014901161,391.1844482,0.203000009059906,3.301817381,12.916195984,105.1158027890572
msongHard,Group   ,994185,1000,420,997,997,232,1,1,1,4,4,2,2,0.2000000029802322,396.1869812,0.2166450023651123,3.266465532,12.916195984,203.0081345249293
msongHard,Group   ,994185,1000,420,997,997,232,1,1,1,4,4,2,2,0.3000000119209290,396.9938965,0.2180399894714355,3.253500014,12.916195984,302.6525196375024
msongHard,Group   ,994185,1000,420,997,997,232,1,1,1,4,4,2,2,0.4000000059604645,399.6395874,0.22778001427650457,3.232056051,12.916195984,402.3851793256954
