dataset,mode,nb,nq,d,nlist,nprobe,divideIVF,orderOptimize,cut,block,worker,group,team,average_time_speedup,average_recall,average_query_time,average_original_time
msong,Baseline,994185,1000,420,997,1,62,1,0,0,10,10,1,33.8977776,0.6087999939918518,0.065075641,0.022059197
msong,Baseline,994185,1000,420,997,3,62,1,0,0,10,10,1,59.2395935,0.3093699812889099,0.111210189,0.065880463
msong,Baseline,994185,1000,420,997,5,62,1,0,0,10,10,1,139.8624115,0.1855599880218506,0.075846662,0.106080973
msong,Baseline,994185,1000,420,997,10,62,1,0,0,10,10,1,235.2063141,0.0704100131988525,0.091827488,0.215984047
msong,Baseline,994185,1000,420,997,20,62,1,0,0,10,10,1,368.0565796,0.0210899710655212,0.119429843,0.439569378
msong,Baseline,994185,1000,420,997,30,62,1,0,0,10,10,1,431.6330872,0.0093600153923035,0.146096071,0.630598966
msong,Baseline,994185,1000,420,997,40,62,1,0,0,10,10,1,495.4084167,0.0054600238800049,0.166049121,0.822621335
msong,Baseline,994185,1000,420,997,50,62,1,0,0,10,10,1,531.5918579,0.00382000207901,0.191333165,1.017111518
msong,Baseline,994185,1000,420,997,70,62,1,0,0,10,10,1,617.7711792,0.0024099946022034,0.219472677,1.355838935
msong,Baseline,994185,1000,420,997,100,62,1,0,0,10,10,1,675.0534668,0.0014700293540955,0.279049481,1.883733245
msong,Baseline,994185,1000,420,997,200,62,1,0,0,10,10,1,851.5222168,0.0009199976921082,0.429780928,3.659680114
msong,Baseline,994185,1000,420,997,300,62,1,0,0,10,10,1,988.6463013,0.0008400082588196,0.574164673,5.676457862
msong,Baseline,994185,1000,420,997,400,62,1,0,0,10,10,1,1340.1037598,0.0008299946784973,0.643941062,8.629478194
msong,Baseline,994185,1000,420,997,500,62,1,0,0,10,10,1,1415.0240479,0.0008299946784973,0.814739199,11.52875542
msong,Baseline,994185,1000,420,997,997,62,1,0,0,10,10,1,1078.1505127,0.0008100271224976,1.324924971,14.284684785

msong,Group   ,994185,1000,420,997,1,62,1,1,5,10,2,2,4.4131784,0.6087999939918518,0.499848307,0.022059197
msong,Group   ,994185,1000,420,997,3,62,1,1,5,10,2,2,18.6220512,0.3093699812889099,0.353776625,0.065880463
msong,Group   ,994185,1000,420,997,10,62,1,1,5,10,2,2,57.0455246,0.0704100131988525,0.378617,0.215984047
msong,Group   ,994185,1000,420,997,20,62,1,1,5,10,2,2,105.943161,0.0210899710655212,0.41491058,0.439569378
msong,Group   ,994185,1000,420,997,30,62,1,1,5,10,2,2,116.9195099,0.0093600153923035,0.539344531,0.630598966
msong,Group   ,994185,1000,420,997,40,62,1,1,5,10,2,2,164.3138123,0.0054600238800049,0.500640405,0.822621335
msong,Group   ,994185,1000,420,997,50,62,1,1,5,10,2,2,195.4895172,0.00382000207901,0.520289536,1.017111518
msong,Group   ,994185,1000,420,997,70,62,1,1,5,10,2,2,225.54776,0.0024099946022034,0.601131646,1.355838935
msong,Group   ,994185,1000,420,997,100,62,1,1,5,10,2,2,264.8806458,0.0014700293540955,0.711163018,1.883733245
msong,Group   ,994185,1000,420,997,200,62,1,1,5,10,2,2,457.7553406,0.0009199976921082,0.799483881,3.659680114
msong,Group   ,994185,1000,420,997,300,62,1,1,5,10,2,2,624.4238281,0.0008400082588196,0.909071294,5.676457862
msong,Group   ,994185,1000,420,997,400,62,1,1,5,10,2,2,835.819458,0.0008299946784973,1.032457187,8.629478194
msong,Group   ,994185,1000,420,997,500,62,1,1,5,10,2,2,887.6834717,0.0008299946784973,1.298746194,11.52875542
msong,Group   ,994185,1000,420,997,997,62,1,1,5,10,2,2,912.8234863,0.0008100271224976,1.564890108,14.284684785

msong,Dim     ,994185,1000,420,997,1,62,0,0,10,10,1,1,18.2901382,0.6087999939918518,0.120607049,0.022059197
msong,Dim     ,994185,1000,420,997,10,62,0,0,10,10,1,1,106.5015335,0.0704100131988525,0.202798995,0.215984047
msong,Dim     ,994185,1000,420,997,20,62,0,0,10,10,1,1,183.8996124,0.0210800170898438,0.239026802,0.439569378
msong,Dim     ,994185,1000,420,997,30,62,0,0,10,10,1,1,216.3438721,0.0093500018119812,0.291479939,0.630598966
msong,Dim     ,994185,1000,420,997,40,62,0,0,10,10,1,1,245.468399,0.0054500102996826,0.335123115,0.822621335
msong,Dim     ,994185,1000,420,997,50,62,0,0,10,10,1,1,268.3486023,0.0038099884986877,0.379026187,1.017111518
msong,Dim     ,994185,1000,420,997,70,62,0,0,10,10,1,1,313.6308594,0.0023999810218811,0.432304056,1.355838935
msong,Dim     ,994185,1000,420,997,100,62,0,0,10,10,1,1,368.0252991,0.0014600157737732,0.511848845,1.883733245
msong,Dim     ,994185,1000,420,997,200,62,0,0,10,10,1,1,507.7040405,0.0009099841117859,0.720829438,3.659680114
msong,Dim     ,994185,1000,420,997,300,62,0,0,10,10,1,1,574.8670044,0.0008299946784973,0.987438484,5.676457862
msong,Dim     ,994185,1000,420,997,400,62,0,0,10,10,1,1,712.4350586,0.000819981098175,1.211265208,8.629478194
msong,Dim     ,994185,1000,420,997,500,62,0,0,10,10,1,1,866.2894897,0.000819981098175,1.330820166,11.52875542
