dataset,mode,nb,nq,d,nlist,nprobe,orderOptimize,UnblockSend,cut,block,worker,group,team,ratio,average_time_speedup,average_recall,average_query_time,average_original_time,average_variance

sift1m,Baseline,1000000,10000,128,1000,1000,1,1,0,0,16,16,1,1.0000000000000000,2884.295776375,9.29832458496e-05,1.4880519335,42.916816433,0.0
sift1m,Group   ,1000000,10000,128,1000,1000,1,1,1,2,16,8,8,1.0000000000000000,2057.55462645,0.0001019835472107,2.08620668125,42.916816433,0.0
sift1m,Baseline,1000000,10000,128,1000,1000,1,1,0,0,8,8,1,1.0000000000000000,1577.0182861199999,0.00010001659393310001,2.7218634596,42.916816433,0.0
sift1m,Group   ,1000000,10000,128,1000,1000,1,1,1,4,8,4,4,1.0000000000000000,781.9898681749999,0.0001019835472107,5.4899184747500005,42.916816433,0.0
sift1m,Baseline,1000000,10000,128,1000,1000,1,1,0,0,4,4,1,1.0000000000000000,608.46280516,0.0001029968261719,7.071358504999999,42.916816433,0.0
sift1m,Dim     ,1000000,10000,128,1000,1000,0,0,0,8,8,1,1,1.0000000000000000,524.510314975,0.0001149773597717,8.183355205249999,42.916816433,0.0
sift1m,Group   ,1000000,10000,128,1000,1000,1,1,1,4,4,2,2,1.0000000000000000,512.87471312,0.0001140236854553,8.463356533200002,42.916816433,0.0
sift1m,Dim     ,1000000,10000,128,1000,1000,0,0,0,16,16,1,1,1.0000000000000000,414.77386475000003,0.0001149773597717,10.8105845475,42.916816433,0.0
sift1m,Dim     ,1000000,10000,128,1000,1000,0,0,0,8,4,1,1,1.0000000000000000,246.25017702,0.0001149773597717,17.520935739000002,42.916816433,0.0

deep1M,Baseline,1000000,1000,256,1000,1000,1,1,0,0,16,16,1,1.0000000000000000,2151.081543,0.0,0.400158302,8.607731194,0.0
deep1M,Baseline,1000000,1000,256,1000,1000,1,1,0,0,8,8,1,1.0000000000000000,1121.6883545,0.0,0.767390605,8.607731194,0.0
deep1M,Group   ,1000000,1000,256,1000,1000,1,1,1,5,16,8,8,1.0000000000000000,824.9226685,0.0,1.043459188,8.607731194,0.0
deep1M,Dim     ,1000000,1000,256,1000,1000,0,0,0,8,8,1,1,1.0000000000000000,599.3231812,0.0,1.436241949,8.607731194,0.0
deep1M,Dim     ,1000000,1000,256,1000,1000,0,0,0,20,16,1,1,1.0000000000000000,568.2979126,0.0,1.514651266,8.607731194,0.0
deep1M,Group   ,1000000,1000,256,1000,1000,1,1,1,2,8,4,4,1.0000000000000000,527.7019653,0.0,1.6311729,8.607731194,0.0
deep1M,Baseline,1000000,1000,256,1000,1000,1,1,0,0,4,4,1,1.0000000000000000,495.2424927,0.0,1.73808412,8.607731194,0.0
deep1M,Group   ,1000000,1000,256,1000,1000,1,1,1,4,4,2,2,1.0000000000000000,427.2556458,0.0,2.014655991,8.607731194,0.0
deep1M,Dim     ,1000000,1000,256,1000,1000,0,0,0,8,4,1,1,1.0000000000000000,181.6176453,0.0,4.73947957,8.607731194,0.0
